image_number,original_filename,label,visible_evidence,teaching_limit,teaching_status,feature_practice_eligible,prior_audit_label,prior_audit_confidence,prior_audit_relation,supplied_reviewer_read,reviewer_reconciliation,repository_files,authored_shaffer_grade,source_pages,image_path,source_sha256
1,"ChatGPT Image Aug 14, 2026, 04_11_12 PM (1).png",Superior iris-angle bridges,Broad superior bridges and narrower lateral strands interrupt the iris-angle junction.,Repeated pale trenches look constructed; this is not a clean fixed-PAS exemplar.,review_only,False,Sectoral Superior Iris Adhesions or PAS,low,qualified,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/001-superior-iris-angle-bridges.png,3f4d0e46acaf9cd0ba016890f2bf0c89eeb78818d7913a6e2c947fc4d29b3afb
2,"ChatGPT Image Aug 14, 2026, 04_11_12 PM (2).png",Inferior pigment with superior iris-root irregularity,Inferior pigment is more conspicuous and the superior iris root is scalloped.,Distribution does not establish a named pigment syndrome.,comparison,False,Open Angle Inferior Predominant Pigmentation,low,qualified,,,,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/002-inferior-pigment-with-superior-iris-root-irregularity.png,f22feb44bc6762b632e95c33af902de069986a69743cf29953df708b6d976d67
3,"ChatGPT Image Aug 14, 2026, 04_11_12 PM (3).png",Superior iris pallor and stromal disruption,The superior iris is pale and irregular with disrupted stromal texture.,A widened ciliary body face and insertion step are not clear enough to establish recession.,comparison,False,Open Angle Wide Ciliary Body Band Possible Recession,low,reclassified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/003-superior-iris-pallor-and-stromal-disruption.png,ed4ffb3c3c820d6b94047a76a6dcb9eee2ed531e83e2950c4c8e099e45f5fe4e
4,"ChatGPT Image Aug 14, 2026, 04_11_12 PM (4).png",Open-appearing angle with visible landmarks,Continuous pale and pigmented angle bands are exposed around the circumference.,The previous very-narrow label is contradicted by visible structures; this projection does not measure angular approach.,core_feature,True,Very Narrow Angle,high,reclassified,Structures clearly visible; reject very narrow,Corroborated visible finding; see image-specific limit.,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/004-open-appearing-angle-with-visible-landmarks.png,098e53aeedf89628b43743d9f91a18ce8a30a46ba67a1bbf563156e7c0d8977b
5,"ChatGPT Image Aug 14, 2026, 04_11_12 PM (5).png",Superior iris pallor,A broad superior sector of peripheral iris is distinctly pale.,This is not the locked Normal; a specific atrophy syndrome is unproved.,comparison,False,Open Angle No Definite Pathology,high,reclassified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/005-superior-iris-pallor.png,78861a402d6d80414fec4c9fbef280271207ef53d1603e02ea635453c68b5451
6,"ChatGPT Image Aug 14, 2026, 04_11_13 PM (6).png",Light anterior-angle pigmentation,The anterior angle band is relatively light beside a darker posterior band.,Localize the spur before mistaking ciliary body color for TM pigment.,comparison,False,Open Angle Mild TM Pigmentation,moderate,qualified,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/006-light-anterior-angle-pigmentation.png,29b35f0741c9ef1ea0dfbe89be716e352e716c5ed30b0c27af8abf5b30a771ec
7,"ChatGPT Image Aug 14, 2026, 04_11_13 PM (7).png",Prominent pale anterior angle line,A conspicuous pale anterior line surrounds an open-appearing angle.,Anterior displacement of Schwalbe's line is not established; posterior embryotoxon remains a differential.,core_feature,True,Prominent Anterior Schwalbe Line Possible Posterior Embryotoxon,low,qualified,,,,,A: printed 46-47 / PDF 47-48; B: printed 15-16 / PDF 25-26,images/007-prominent-pale-anterior-angle-line.png,f98447728722af89ed75908f258e23f5676e28ac9068e21810ed38d30828ed50
8,"ChatGPT Image Aug 14, 2026, 04_11_13 PM (8).png",Very narrow-appearing peripheral angle,The peripheral iris closely approaches the outer band; posterior landmarks are difficult to identify.,"Use for relative visibility, not an exact angular measurement or a mechanism of closure.",comparison,False,Very Narrow or Closed Angle,high,qualified,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/008-very-narrow-appearing-peripheral-angle.png,14de0af8a55fd180e3f8522e3a2a4de63371c27ab4dfa514c8c7579fbc8eb8cd
9,"ChatGPT Image Aug 14, 2026, 04_11_13 PM (9).png",Closed-appearing peripheral angle,Little recognizable posterior angle structure remains between iris and outer rim.,Apposition versus permanent adhesion cannot be determined without indentation.,comparison,False,Very Narrow or Closed Angle,high,qualified,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/009-closed-appearing-peripheral-angle.png,4b5aa91aa7fbac3dd8b3ee853ab3f3bffe27df05c98d75d9262f3d79225e3fb8
10,"ChatGPT Image Aug 14, 2026, 04_11_14 PM (10).png",Open angle with light anterior-band pigmentation,Anterior bands are pale with a darker posterior boundary.,The dark posterior band is insufficient evidence of moderate or heavy TM pigment.,comparison,False,Open Angle Moderate TM Pigmentation,moderate,reclassified,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/010-open-angle-with-light-anterior-band-pigmentation.png,a4383c644c5e994622412b789ee1568edc55b0467d2eb116cf5738b13a1c7ae1
